in s,C1 in V
-6.0000E-05,4.929E+00
-5.9984E-05,4.919E+00
-5.9968E-05,4.948E+00
-5.9952E-05,4.919E+00
-5.9936E-05,4.929E+00
-5.9920E-05,4.948E+00
-5.9904E-05,4.938E+00
-5.9888E-05,4.929E+00
-5.9872E-05,4.919E+00
-5.9856E-05,4.929E+00
-5.9840E-05,4.938E+00
-5.9824E-05,4.948E+00
-5.9808E-05,4.938E+00
-5.9792E-05,4.899E+00
-5.9776E-05,4.899E+00
-5.9760E-05,4.909E+00
-5.9744E-05,4.919E+00
-5.9728E-05,4.958E+00
-5.9712E-05,4.929E+00
-5.9696E-05,4.919E+00
-5.9680E-05,4.919E+00
-5.9664E-05,4.909E+00
-5.9648E-05,4.909E+00
-5.9632E-05,4.909E+00
-5.9616E-05,4.958E+00
-5.9600E-05,4.919E+00
-5.9584E-05,4.948E+00
-5.9568E-05,4.929E+00
-5.9552E-05,4.938E+00
-5.9536E-05,4.929E+00
-5.9520E-05,4.929E+00
-5.9504E-05,4.929E+00
-5.9488E-05,4.899E+00
-5.9472E-05,4.987E+00
-5.9456E-05,4.938E+00
-5.9440E-05,4.929E+00
-5.9424E-05,4.919E+00
-5.9408E-05,4.899E+00
-5.9392E-05,4.938E+00
-5.9376E-05,4.929E+00
-5.9360E-05,4.919E+00
-5.9344E-05,4.919E+00
-5.9328E-05,4.938E+00
-5.9312E-05,4.958E+00
-5.9296E-05,4.929E+00
-5.9280E-05,4.919E+00
-5.9264E-05,4.909E+00
-5.9248E-05,4.929E+00
-5.9232E-05,4.909E+00
-5.9216E-05,4.899E+00
-5.9200E-05,4.909E+00
-5.9184E-05,4.919E+00
-5.9168E-05,4.919E+00
-5.9152E-05,4.919E+00
-5.9136E-05,4.919E+00
-5.9120E-05,4.929E+00
-5.9104E-05,4.958E+00
-5.9088E-05,4.899E+00
-5.9072E-05,4.909E+00
-5.9056E-05,4.929E+00
-5.9040E-05,4.938E+00
-5.9024E-05,4.919E+00
-5.9008E-05,4.919E+00
-5.8992E-05,4.909E+00
-5.8976E-05,4.929E+00
-5.8960E-05,4.929E+00
-5.8944E-05,4.899E+00
-5.8928E-05,4.909E+00
-5.8912E-05,4.899E+00
-5.8896E-05,4.909E+00
-5.8880E-05,4.929E+00
-5.8864E-05,4.938E+00
-5.8848E-05,4.929E+00
-5.8832E-05,4.919E+00
-5.8816E-05,4.938E+00
-5.8800E-05,4.938E+00
-5.8784E-05,4.919E+00
-5.8768E-05,4.938E+00
-5.8752E-05,4.929E+00
-5.8736E-05,4.948E+00
-5.8720E-05,4.909E+00
-5.8704E-05,4.948E+00
-5.8688E-05,4.938E+00
-5.8672E-05,4.890E+00
-5.8656E-05,4.948E+00
-5.8640E-05,4.919E+00
-5.8624E-05,4.938E+00
-5.8608E-05,4.919E+00
-5.8592E-05,4.929E+00
-5.8576E-05,4.948E+00
-5.8560E-05,4.919E+00
-5.8544E-05,4.929E+00
-5.8528E-05,4.938E+00
-5.8512E-05,4.938E+00
-5.8496E-05,4.968E+00
-5.8480E-05,4.938E+00
-5.8464E-05,4.929E+00
-5.8448E-05,4.919E+00
-5.8432E-05,4.929E+00
-5.8416E-05,4.919E+00
-5.8400E-05,4.919E+00
-5.8384E-05,4.919E+00
-5.8368E-05,4.929E+00
-5.8352E-05,4.948E+00
-5.8336E-05,4.938E+00
-5.8320E-05,4.938E+00
-5.8304E-05,4.929E+00
-5.8288E-05,4.909E+00
-5.8272E-05,4.909E+00
-5.8256E-05,4.929E+00
-5.8240E-05,4.919E+00
-5.8224E-05,4.899E+00
-5.8208E-05,4.909E+00
-5.8192E-05,4.870E+00
-5.8176E-05,4.929E+00
-5.8160E-05,4.899E+00
-5.8144E-05,4.909E+00
-5.8128E-05,4.909E+00
-5.8112E-05,4.938E+00
-5.8096E-05,4.919E+00
-5.8080E-05,4.938E+00
-5.8064E-05,4.919E+00
-5.8048E-05,4.909E+00
-5.8032E-05,4.899E+00
-5.8016E-05,4.899E+00
-5.8000E-05,4.899E+00
-5.7984E-05,4.929E+00
-5.7968E-05,4.909E+00
-5.7952E-05,4.958E+00
-5.7936E-05,4.929E+00
-5.7920E-05,4.948E+00
-5.7904E-05,4.909E+00
-5.7888E-05,4.929E+00
-5.7872E-05,4.929E+00
-5.7856E-05,4.929E+00
-5.7840E-05,4.938E+00
-5.7824E-05,4.929E+00
-5.7808E-05,4.870E+00
-5.7792E-05,4.958E+00
-5.7776E-05,4.919E+00
-5.7760E-05,4.909E+00
-5.7744E-05,4.899E+00
-5.7728E-05,4.929E+00
-5.7712E-05,4.919E+00
-5.7696E-05,4.929E+00
-5.7680E-05,4.929E+00
-5.7664E-05,4.919E+00
-5.7648E-05,4.938E+00
-5.7632E-05,4.909E+00
-5.7616E-05,4.909E+00
-5.7600E-05,4.919E+00
-5.7584E-05,4.948E+00
-5.7568E-05,4.938E+00
-5.7552E-05,4.909E+00
-5.7536E-05,4.919E+00
-5.7520E-05,4.919E+00
-5.7504E-05,4.938E+00
-5.7488E-05,4.919E+00
-5.7472E-05,4.929E+00
-5.7456E-05,4.919E+00
-5.7440E-05,4.919E+00
-5.7424E-05,4.919E+00
-5.7408E-05,4.899E+00
